################################### RECORDED ###################################
# Collectl:   V3.1.2-2  HiRes: 1  Options: -scdE -i1::1 -c100 -f.  Subsys: cdE
################################################################################
# Collectl:   V3.1.2-2  HiRes: 1  Options: -C. -p /tmp/hadesn2-20081204-061631.raw.gz -P -ocz -f /home/mjs/collectl-utils/plotfiles 
# Host:       hadesn2  DaemonOpts: 
# Distro:     Red Hat Enterprise Linux Server release 5.1 (Tikanga)
# Date:       20081204-061631  Secs: 1228389391 TZ: -0500
# SubSys:     cdE SubOpts:  Options: cz NfsOpts:  Interval: 1::1 NumCPUs: 8  Flags: 
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:         Speed(MHz):  Cores:   Siblings: 
# Kernel:     2.6.18-53.el5  Memory: 16438976  Swap: 
# NumDisks:   2 DiskNames: c0d0 c0d1
# NumNets:    6 NetNames: lo: eth0:1000 eth1:1000 sit0: ib0:20000 ib1:20000
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20081204 06:18:02 0 0 0 0 0 0 0 100 0 1022 2085 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:18:03 0 0 0 0 0 0 0 100 0 1010 2046 1 208 0 0 0 0 0 2 2 0 64 64 0 14 14
20081204 06:18:04 0 0 0 0 0 0 0 100 0 1014 2032 1 208 0 0 0 0 0 3 3 0 16 16 0 1 1
20081204 06:18:05 0 0 0 0 0 0 0 100 0 1011 2080 1 208 0 0 0 0 0 2 2 0 16 16 0 2 2
20081204 06:18:06 0 0 0 0 0 0 0 100 0 1011 2048 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:18:07 0 0 0 0 0 0 0 100 0 1012 2043 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:18:08 0 0 0 0 0 0 0 100 0 1013 2034 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:18:09 0 0 0 0 0 0 0 100 0 1010 2075 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:18:10 0 0 0 0 0 0 0 100 0 1015 2073 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:18:11 0 0 0 0 0 0 0 100 0 1012 2055 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:18:12 0 0 0 0 0 0 0 100 0 1009 2044 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
